deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.63	NA	NA	NA	NA	sample	1	ROM
0.63	-0.0884226508393412	-0.134227875488254	-0.0426174261904287	487	sample	1	ROM
0.64	-0.110379546786582	-0.162711412603276	-0.0580476809698884	487	sample	1	ROM
0.64	-0.104278713066066	-0.15493127194402	-0.0536261541881113	487	sample	1	ROM
0.65	-0.106167722463902	-0.158237595249664	-0.0540978496781407	487	sample	1	ROM
0.65	-0.116577324027631	-0.168627001214181	-0.0645276468410807	487	sample	1	ROM
0.66	NA	NA	NA	NA	sample	1	ROM
0.66	-0.100234603247515	-0.151814363976543	-0.0486548425184864	487	sample	1	ROM
0.67	-0.112563362230897	-0.166306727764883	-0.0588199966969124	487	sample	1	ROM
0.67	NA	NA	NA	NA	sample	1	ROM
0.68	NA	NA	NA	NA	sample	1	ROM
0.68	-0.102115601298137	-0.153845065983901	-0.0503861366123716	487	sample	1	ROM
0.69	-0.105727219453043	-0.158390044070192	-0.0530643948358938	487	sample	1	ROM
0.69	NA	NA	NA	NA	sample	1	ROM
0.7	-0.110729579237696	-0.163836260343512	-0.0576228981318786	487	sample	1	ROM
0.7	-0.111505901412665	-0.163023481732051	-0.0599883210932787	487	sample	1	ROM
0.71	-0.108351863332934	-0.160136332511773	-0.0565673941540946	487	sample	1	ROM
0.71	NA	NA	NA	NA	sample	1	ROM
0.72	-0.103862398200387	-0.149947630299732	-0.0577771661010411	487	sample	1	ROM
0.72	-0.111468635473191	-0.165291883355492	-0.0576453875908906	487	sample	1	ROM
0.73	-0.115726214504988	-0.170061865970149	-0.0613905630398275	487	sample	1	ROM
0.73	-0.0926572289548918	-0.141288935711136	-0.0440255221986473	487	sample	1	ROM
0.74	-0.108940555050554	-0.161771123733913	-0.0561099863671954	487	sample	1	ROM
0.74	-0.0965119865846253	-0.143584400444885	-0.049439572724366	487	sample	1	ROM
0.75	-0.114211970070567	-0.16578074584457	-0.0626431942965637	487	sample	1	ROM
0.75	NA	NA	NA	NA	sample	1	ROM
0.76	-0.100046743867647	-0.146465742315948	-0.0536277454193459	487	sample	1	ROM
0.76	NA	NA	NA	NA	sample	1	ROM
0.77	-0.104813074820237	-0.154084021804366	-0.0555421278361074	487	sample	1	ROM
0.77	NA	NA	NA	NA	sample	1	ROM
0.78	NA	NA	NA	NA	sample	1	ROM
0.78	NA	NA	NA	NA	sample	1	ROM
0.79	NA	NA	NA	NA	sample	1	ROM
0.79	-0.103849721013741	-0.155598186220255	-0.0521012558072267	487	sample	1	ROM
0.8	-0.109471597673578	-0.160755556590924	-0.058187638756231	487	sample	1	ROM
0.8	-0.107534445405356	-0.159241580529645	-0.0558273102810673	487	sample	1	ROM
0.81	NA	NA	NA	NA	sample	1	ROM
0.81	-0.109631383199106	-0.163000785770244	-0.0562619806279692	487	sample	1	ROM
0.82	-0.107225006235436	-0.160856979972162	-0.0535930324987088	487	sample	1	ROM
0.82	NA	NA	NA	NA	sample	1	ROM
0.83	-0.104900656606446	-0.153446665613623	-0.0563546475992684	487	sample	1	ROM
0.83	NA	NA	NA	NA	sample	1	ROM
0.84	-0.114797863853726	-0.168327523996025	-0.061268203711427	487	sample	1	ROM
0.84	NA	NA	NA	NA	sample	1	ROM
0.85	-0.110765916605534	-0.163699020285495	-0.0578328129255723	487	sample	1	ROM
0.85	NA	NA	NA	NA	sample	1	ROM
